Rad Flow,Fpv Close,Fpv Open,High,Bypass,Bpv Close,Bpv Open,label
84,0,54,0,30,30,0,0
86,2,50,20,38,37,0,0
79,0,44,6,35,35,0,0
93,0,0,-9,38,93,56,1
76,0,36,-4,39,40,2,0
78,-7,12,0,23,65,42,1
79,0,12,-22,43,66,24,0
77,0,44,25,34,34,0,0
83,0,46,0,37,37,0,0
79,0,42,6,38,38,0,0
76,0,20,4,40,55,16,0
83,3,42,0,42,42,0,0
86,0,44,22,43,42,0,0
75,2,-40,16,4,116,112,0
80,0,12,17,43,67,24,0
76,-3,30,14,39,45,6,0
79,0,28,-30,43,51,8,0
81,0,52,-2,28,30,2,0
84,0,-32,7,4,117,114,0
82,0,-20,-18,26,103,76,1
86,0,46,-4,38,40,2,0
76,-7,38,0,38,37,0,0
87,1,44,10,43,43,0,0
106,0,24,5,69,82,14,0
76,3,36,0,39,40,0,0
88,1,46,0,40,42,2,0
86,0,-40,4,4,127,122,0
83,0,42,0,41,41,0,0
83,7,-42,0,4,126,122,0
84,-7,42,-2,41,43,2,0
87,0,38,-13,46,48,2,0
106,0,44,-16,61,62,2,0
76,0,46,12,31,30,0,0
84,2,42,0,42,43,0,0
76,0,46,0,30,30,0,0
81,6,-4,0,25,86,62,1
83,0,44,-11,38,39,2,0
80,4,8,12,43,72,28,0
92,0,50,6,36,43,6,1
96,0,54,1,40,42,2,0
77,0,34,-8,41,44,2,0
102,-5,70,-3,1,33,32,0
87,-3,46,-5,40,41,0,0
107,0,38,23,69,68,0,0
86,0,-4,9,3,92,88,0
106,0,50,4,56,57,0,0
76,0,38,14,38,37,0,0
80,0,20,0,24,59,36,1
88,0,42,-19,44,46,2,0
83,0,-30,38,4,114,110,0
87,3,44,0,43,43,0,0
106,17,26,-3,69,80,12,0
106,0,46,6,60,60,0,0
88,-6,46,0,41,41,0,0
77,0,-18,-27,21,95,74,1
95,0,24,6,58,72,14,0
76,-7,24,0,40,53,14,0
80,0,44,-13,35,36,2,0
77,4,12,0,40,64,24,0
76,5,28,-6,40,48,8,0
79,0,46,-11,31,33,2,0
83,-1,10,0,46,72,26,0
87,0,52,-12,34,35,2,0
95,-1,36,-8,39,59,20,1
79,0,50,17,30,30,0,0
79,0,10,-2,42,68,26,0
76,-6,28,0,40,48,8,0
106,-4,44,6,62,62,0,0
106,-4,70,0,1,36,36,0
85,0,44,7,41,41,0,0
80,0,42,0,37,39,2,0
93,0,46,0,46,47,0,0
85,-5,46,2,39,39,0,0
108,8,70,0,2,38,36,0
81,0,30,0,45,50,6,0
80,0,20,9,43,59,16,0
76,1,36,7,39,40,2,0
79,-1,42,1,38,37,0,0
77,0,38,10,39,38,0,0
77,3,36,-1,39,41,2,0
80,0,50,-23,29,31,2,0
84,0,-14,7,3,100,96,0
83,-7,46,7,37,36,0,0
77,0,18,4,22,59,38,1
82,0,42,8,41,41,0,0
76,-1,42,0,34,35,2,0
80,-2,44,0,36,36,0,0
79,-1,44,-2,35,35,0,0
76,0,24,4,40,53,14,0
94,0,8,-3,57,86,30,0
86,0,44,-6,40,42,2,0
80,0,46,-6,31,34,2,0
77,0,-28,0,22,106,84,1
92,0,26,-2,36,66,30,1
97,4,52,28,41,45,4,1
97,-1,50,-2,41,48,6,1
95,1,50,16,46,46,0,0
81,0,44,30,38,37,0,0
83,0,34,10,46,50,4,0
104,0,26,9,67,78,12,0
87,-6,46,-9,40,41,0,0
88,0,52,-30,34,36,2,0
79,0,52,-30,25,27,2,0
97,0,44,0,41,53,12,1
79,2,0,0,35,79,44,0
81,7,44,0,38,37,0,0
106,-1,44,-2,62,62,0,0
95,0,46,0,40,49,10,1
95,-3,50,0,44,46,2,0
91,0,54,-8,35,37,2,0
106,-1,30,29,-10,75,84,0
77,0,18,13,22,59,38,1
76,0,38,-2,35,37,2,0
107,0,46,0,61,60,0,0
96,0,52,28,41,44,4,1
77,0,46,24,31,30,0,0
90,0,28,3,53,62,8,0
89,2,8,0,8,81,72,0
81,0,52,0,29,29,0,0
108,0,38,0,68,69,0,0
81,0,50,5,32,32,0,0
77,5,24,0,22,54,32,1
81,-3,42,0,40,40,0,0
105,0,24,15,68,82,14,0
85,0,54,-16,29,31,2,0
96,1,54,0,41,42,2,0
83,0,36,6,46,46,0,0
106,0,46,-25,57,59,2,0
76,0,-14,29,21,92,70,1
76,0,-2,0,38,79,40,0
106,0,46,-9,58,60,2,0
81,0,-10,0,26,92,66,1
93,0,42,23,53,52,0,0
77,0,36,-22,39,41,2,0
76,0,44,25,32,32,0,0
84,0,46,-5,36,38,2,0
81,0,52,-28,28,30,2,0
81,0,-6,-2,25,88,64,1
89,0,44,30,46,45,0,0
78,0,52,0,26,26,0,0
76,0,20,-2,39,55,16,0
104,-2,24,0,67,80,14,0
86,0,42,0,44,45,0,0
75,0,42,0,32,34,2,0
86,3,42,0,44,44,0,0
81,2,44,1,37,37,0,0
107,0,28,-7,70,78,8,0
77,7,-42,-4,4,121,118,0
79,0,42,25,38,37,0,0
81,-3,-4,0,44,86,42,0
76,0,38,-3,35,37,2,0
110,0,38,0,71,71,0,0
75,0,34,0,37,41,4,0
106,0,20,-21,69,85,16,0
80,-2,38,-4,41,41,0,0
76,-7,38,0,37,37,0,0
83,4,54,0,29,29,0,0
81,-3,38,-2,43,43,0,0
75,0,20,27,38,54,16,0
80,-1,38,-2,41,41,0,0
81,0,44,-4,35,37,2,0
83,0,42,2,41,41,0,0
74,-13,0,0,19,74,54,1
77,0,52,-24,25,26,2,0
79,6,52,12,28,27,0,0
89,-4,44,0,44,45,0,0
81,1,44,17,37,37,0,0
77,-3,44,18,34,33,0,0
82,0,46,26,37,35,0,0
93,0,10,-3,56,83,26,0
82,-3,46,-5,34,35,0,0
75,0,20,11,38,54,16,0
77,0,-2,2,41,80,40,0
95,0,38,0,39,57,18,1
76,0,36,-1,39,40,2,0
93,0,50,-4,38,44,6,1
95,0,46,-3,47,49,2,0
95,0,44,-10,40,51,12,1
87,0,54,0,33,33,0,0
78,0,12,30,41,65,24,0
86,3,42,0,44,45,2,0
78,0,52,0,27,26,0,0
89,2,38,-9,48,50,2,0
86,0,38,0,46,48,2,0
84,-7,38,0,45,46,2,0
79,0,12,8,42,66,24,0
82,0,42,16,41,41,0,0
91,2,54,0,36,37,0,0
86,0,44,0,40,42,2,0
108,0,42,0,66,67,0,0
86,0,54,14,33,32,0,0
76,3,30,30,39,45,6,0
77,0,-18,18,21,95,74,1
80,-5,26,0,43,54,10,0
78,0,-4,5,41,83,42,0
96,4,56,9,40,39,0,0
93,0,28,5,55,64,8,0
81,0,42,-27,38,40,2,0
84,0,44,14,40,40,0,0
100,2,42,0,58,59,0,0
78,0,46,-29,29,32,2,0
77,0,-22,0,29,101,72,0
81,-2,42,-11,37,39,2,0
106,0,30,-6,69,75,6,0
95,0,52,15,39,43,4,1
81,5,46,0,33,34,2,0
86,0,38,-13,45,47,2,0
98,1,52,-13,42,46,4,1
96,3,50,0,41,47,6,1
80,0,54,23,27,26,0,0
76,0,30,-13,39,45,6,0
102,0,42,-28,58,61,2,0
76,1,34,2,40,43,2,0
106,0,30,1,69,75,6,0
105,0,72,4,1,33,32,0
95,0,54,-13,40,41,2,0
85,-1,46,0,39,39,0,0
76,-2,42,-3,35,35,0,0
86,0,44,-1,40,42,2,0
93,0,2,19,38,91,52,1
77,0,28,22,22,49,28,1
80,0,38,29,43,41,0,0
81,-2,52,0,29,30,0,0
93,2,38,6,37,54,16,1
82,0,54,27,29,28,0,0
84,0,42,11,43,43,0,0
86,0,54,-5,31,32,2,0
78,0,10,31,22,68,46,1
79,0,24,6,23,55,32,1
99,0,50,0,43,50,6,1
97,0,44,4,41,53,12,1
79,0,56,5,22,22,0,0
77,0,28,25,41,49,8,0
82,0,44,1,38,38,0,0
77,0,52,10,26,26,0,0
96,0,50,1,40,47,6,1
81,2,42,-29,37,39,2,0
81,0,52,-24,28,30,2,0
104,5,24,0,66,80,14,0
79,0,44,20,35,35,0,0
76,5,20,-24,39,55,16,0
88,0,42,0,45,46,2,0
80,0,20,0,43,59,16,0
77,6,36,0,41,41,0,0
76,0,44,0,32,32,0,0
76,0,44,16,32,32,0,0
83,0,54,4,30,29,0,0
81,0,54,5,27,26,0,0
86,0,54,-2,30,32,2,0
77,0,46,-6,32,31,0,0
83,1,50,31,34,34,0,0
77,0,-20,14,21,97,76,1
100,1,42,0,59,59,0,0
86,5,42,-3,43,45,2,0
77,0,36,-16,39,41,2,0
97,0,38,-6,41,58,18,1
77,0,30,-19,40,46,6,0
86,0,50,-6,35,37,2,0
82,0,42,-14,39,41,2,0
77,4,42,0,35,36,2,0
77,0,38,9,22,39,16,1
90,0,20,6,53,70,16,0
88,1,46,-19,39,41,2,0
75,0,44,6,31,31,0,0
93,1,54,0,38,39,2,0
79,8,42,0,37,37,0,0
84,0,-24,5,4,110,106,0
77,-2,44,11,34,33,0,0
79,0,56,21,23,22,0,0
85,0,44,-27,40,41,2,0
80,0,10,4,43,70,26,0
77,-5,38,-8,38,38,0,0
77,0,46,31,32,31,0,0
92,0,12,0,55,79,24,0
86,0,56,-2,27,29,2,0
108,-3,38,-5,68,69,0,0
106,-1,70,0,1,36,34,0
75,0,24,31,38,52,14,0
97,0,28,-2,60,69,8,0
77,0,26,-13,41,52,10,0
77,0,0,11,40,77,38,0
76,1,44,14,32,32,0,0
76,-9,36,-14,39,40,0,0
93,-3,38,1,55,55,0,0
75,0,38,14,37,36,0,0
80,-3,38,0,41,41,0,0
97,0,42,-10,41,55,14,1
81,0,-40,277,4,123,118,0
97,0,54,0,41,42,2,0
89,1,54,0,35,35,0,0
86,0,-2,7,3,88,84,0
78,0,-2,-2,40,81,40,0
106,-3,50,6,57,57,0,0
86,-1,52,-12,33,34,2,0
76,-4,34,0,39,42,2,0
79,2,12,13,42,66,24,0
77,0,-22,17,21,100,78,1
79,0,12,10,23,66,42,1
106,3,36,0,69,69,0,0
81,0,38,0,41,43,2,0
77,0,-28,5,22,106,84,1
86,-2,46,0,41,40,0,0
76,-1,46,0,28,30,2,0
80,0,44,-23,35,36,2,0
84,0,-36,-29,4,120,116,0
97,4,50,15,41,48,6,1
102,0,44,12,59,58,0,0
102,-4,54,5,49,48,0,0
78,-6,0,0,31,78,48,0
74,0,28,14,38,46,8,0
81,6,-10,0,25,91,66,1
78,0,12,-6,22,65,42,1
82,0,56,28,26,25,0,0
77,-5,38,0,38,39,2,0
87,0,52,3,35,35,0,0
87,3,46,0,41,41,0,0
84,0,44,8,41,41,0,0
83,-6,38,0,44,44,0,0
86,0,42,-17,43,45,2,0
85,0,44,18,42,41,0,0
98,0,52,-20,42,46,4,1
97,0,42,-12,41,55,14,1
95,0,38,-23,40,57,16,1
79,0,54,-8,24,25,2,0
85,0,52,7,34,33,0,0
81,0,44,0,35,37,2,0
81,0,50,-1,31,32,0,0
88,8,46,0,40,41,0,0
86,0,50,-20,35,37,2,0
76,-4,28,-3,39,47,8,0
81,0,52,21,29,29,0,0
84,0,44,-9,38,40,2,0
90,0,56,0,33,33,0,0
80,0,16,-15,43,65,22,0
97,-4,30,-19,60,66,6,0
79,-2,18,-5,23,61,38,1
76,0,38,-27,34,37,2,0
95,0,44,28,40,51,12,1
98,-6,46,-9,42,51,8,1
84,0,46,-9,35,37,2,0
86,0,52,10,35,34,0,0
83,0,46,0,37,37,0,0
98,0,42,-19,42,57,14,1
77,7,44,4,33,33,0,0
88,-5,46,-3,40,42,2,0
77,0,34,-4,22,44,22,1
86,0,46,-5,38,40,2,0
98,0,38,-1,42,59,18,1
78,-2,2,-8,41,75,34,0
80,0,20,3,43,59,16,0
106,3,24,-3,68,82,14,0
81,0,50,17,33,32,0,0
82,0,54,4,26,28,2,0
96,7,50,0,41,47,6,1
81,0,44,-16,35,37,2,0
95,0,50,23,47,46,0,0
86,0,44,-11,40,42,2,0
87,0,42,-8,44,46,2,0
83,0,28,10,46,54,8,0
82,0,44,4,38,38,0,0
89,0,46,0,42,42,0,0
78,0,2,-18,23,75,52,1
80,0,-2,0,25,83,58,1
83,0,44,17,39,39,0,0
80,-1,44,0,36,36,0,0
80,0,20,9,43,59,16,0
76,4,30,0,39,45,6,0
77,-2,-4,24,21,82,60,1
79,8,52,5,27,27,0,0
98,0,46,-11,42,51,8,1
106,0,24,4,69,82,14,0
89,0,56,0,33,32,0,0
106,-4,34,-20,24,72,48,0
80,5,-42,0,5,124,120,0
82,-6,38,-2,41,43,2,0
99,0,42,-14,56,58,2,0
81,5,36,0,44,44,0,0
80,-3,46,0,32,34,2,0
77,-1,42,-5,34,36,2,0
86,0,44,-22,40,42,2,0
77,0,44,0,32,34,2,0
79,-4,44,19,35,35,0,0
83,1,36,-1,45,46,2,0
88,5,50,0,37,39,2,0
78,-2,42,0,36,37,0,0
78,0,42,0,36,37,0,0
77,0,38,-1,38,38,0,0
77,0,34,2,40,44,4,0
82,0,44,-1,37,38,2,0
81,-3,44,17,37,37,0,0
81,0,44,4,37,37,0,0
75,0,28,0,38,46,8,0
81,0,42,12,40,40,0,0
78,-6,24,0,42,55,14,0
86,0,-10,0,4,96,92,0
87,0,50,22,38,38,0,0
85,0,50,0,36,36,0,0
86,0,46,-12,38,40,2,0
96,0,42,28,41,55,14,1
78,0,50,28,29,29,0,0
96,2,42,20,41,55,14,1
80,0,18,-24,43,62,18,0
105,0,38,9,67,66,0,0
91,0,2,0,44,88,44,0
95,0,44,0,51,51,0,0
82,0,54,-3,26,28,2,0
82,0,50,-24,31,33,2,0
109,0,52,0,57,57,0,0
84,7,46,0,36,37,2,0
97,0,38,0,41,58,16,1
86,0,52,0,34,34,0,0
97,0,50,7,42,48,6,1
82,0,42,0,39,41,2,0
90,4,42,0,49,49,0,0
94,0,10,-18,57,84,26,0
103,-4,18,0,66,85,20,0
82,-2,-2,0,45,85,40,0
77,0,38,17,39,38,0,0
88,0,52,-8,35,36,2,0
75,-1,28,-3,38,46,8,0
76,-2,-10,16,21,86,66,1
79,0,18,4,43,61,18,0
98,0,38,-6,42,59,16,1
79,0,28,0,42,51,8,0
103,2,72,28,1,31,30,0
82,0,-40,-18,26,123,96,1
98,0,52,2,42,46,4,1
97,0,10,-13,59,86,28,0
88,0,50,-7,36,39,2,0
80,0,6,-11,43,75,32,0
86,0,44,6,43,42,0,0
77,0,18,9,22,59,38,1
76,0,36,23,39,40,0,0
81,0,54,0,27,26,0,0
90,0,50,5,42,41,0,0
88,-2,38,-45,48,50,2,0
86,0,46,5,40,39,0,0
86,-4,42,-1,42,44,2,0
84,0,26,-30,47,58,10,0
96,0,52,0,41,44,4,1
79,0,42,-14,36,38,2,0
87,0,46,-3,38,41,2,0
78,0,44,0,23,34,12,1
86,0,50,29,38,37,0,0
77,5,-12,-1,41,90,50,0
76,0,44,5,32,32,0,0
81,0,54,3,28,26,0,0
97,-2,50,-1,41,48,6,1
77,0,38,0,38,39,0,0
78,0,26,28,22,52,30,1
81,0,42,5,40,40,0,0
78,-4,34,-8,41,45,4,0
97,-1,46,-8,42,51,8,1
109,0,36,-19,72,73,2,0
86,0,-10,23,3,96,92,0
88,4,50,0,37,39,2,0
79,0,12,-26,43,66,24,0
78,0,-4,-25,41,83,42,0
83,0,52,5,31,31,0,0
87,-1,44,0,43,43,0,0
82,0,36,-3,45,46,2,0
86,0,56,-4,27,29,2,0
104,0,18,20,67,86,18,0
77,7,44,0,33,34,0,0
82,0,46,-11,33,35,2,0
86,0,54,0,32,32,0,0
79,0,6,-22,42,74,32,0
107,0,36,0,70,71,0,0
75,-2,46,0,29,28,0,0
75,0,24,-4,38,52,14,0
95,-3,26,18,58,70,12,0
86,0,-40,1,4,127,122,0
77,0,52,-16,25,26,2,0
81,-1,44,0,36,37,2,0
100,-2,30,-4,64,69,6,0
86,0,42,0,44,45,0,0
111,0,62,0,48,49,2,0
87,0,54,0,32,33,0,0
78,0,50,-8,27,29,2,0
83,0,38,-23,41,44,2,0
76,0,42,-28,32,35,2,0
109,0,68,26,43,42,0,0
78,0,52,10,27,26,0,0
106,0,38,3,68,67,0,0
77,0,38,0,36,38,2,0
79,0,30,11,43,48,6,0
104,-3,36,-6,-18,68,86,0
81,0,44,9,38,37,0,0
80,-7,38,0,41,41,0,0
88,0,46,0,42,41,0,0
86,0,44,3,42,42,0,0
86,3,56,9,31,30,0,0
82,0,50,4,33,33,0,0
79,0,2,-24,23,76,52,1
95,0,50,-9,39,46,6,1
82,2,38,0,44,43,0,0
78,0,-2,0,40,81,40,0
102,0,46,10,57,56,0,0
97,0,50,0,42,48,6,1
81,0,42,0,37,39,2,0
88,-7,52,-1,35,36,0,0
98,2,52,0,42,46,4,1
84,0,-42,-1,4,128,124,0
81,0,46,14,35,34,0,0
79,0,8,6,43,72,28,0
94,3,46,0,47,48,0,0
92,0,54,-6,36,38,2,0
76,0,-4,141,20,81,62,1
80,0,24,27,24,57,32,1
95,0,42,27,40,54,14,1
85,0,38,0,46,46,0,0
78,0,12,5,22,65,42,1
75,7,24,22,38,52,14,0
76,5,28,16,40,48,8,0
79,3,50,0,28,30,2,0
76,0,46,0,28,29,0,0
86,2,44,16,43,42,0,0
84,0,38,-20,43,45,2,0
83,6,36,0,46,46,0,0
83,8,56,0,25,26,0,0
90,-1,8,2,53,82,30,0
79,-1,44,-25,33,35,2,0
77,0,10,3,22,67,46,1
108,-3,38,-19,67,69,2,0
95,-2,52,-21,40,44,4,1
77,0,-24,0,21,103,82,1
92,0,26,0,54,66,12,0
82,0,54,4,29,28,0,0
88,0,46,11,43,42,0,0
86,0,44,-12,41,42,2,0
84,0,44,-4,39,41,2,0
88,0,44,0,9,44,34,0
81,-5,50,0,31,32,0,0
75,0,44,13,31,31,0,0
88,6,46,0,42,41,0,0
77,0,42,0,36,36,0,0
88,0,46,0,40,42,2,0
89,0,42,-13,46,48,2,0
88,0,50,6,40,39,0,0
79,0,44,-26,33,35,2,0
79,0,34,-10,43,46,2,0
104,0,52,-21,51,52,2,0
103,0,24,-17,66,80,14,0
82,2,50,0,31,33,2,0
88,8,54,0,35,34,0,0
78,0,38,-19,37,39,2,0
95,0,54,-23,39,41,2,0
75,0,42,0,33,34,0,0
81,-4,-12,0,25,94,68,1
93,6,26,5,55,67,12,0
84,0,50,1,35,35,0,0
102,1,42,0,60,61,0,0
88,0,44,21,44,44,0,0
77,0,-4,-19,21,82,60,1
86,0,52,11,35,35,0,0
86,0,38,-18,46,48,2,0
81,0,38,22,43,42,0,0
81,-1,-42,-5,5,125,120,0
80,0,42,5,39,39,0,0
86,0,52,8,36,35,0,0
86,-4,50,-8,36,37,2,0
109,0,46,0,63,63,0,0
96,0,38,20,59,57,0,0
77,2,38,-12,36,39,2,0
84,-4,56,0,27,28,0,0
81,0,24,14,44,57,14,0
81,6,42,1,39,39,0,0
87,1,46,1,41,41,0,0
81,4,-6,-17,25,88,64,1
83,0,98,8098,4,-14,-18,0
93,2,46,3,47,46,0,0
77,-7,24,0,22,54,32,1
86,2,54,-19,31,32,2,0
108,2,54,-9,52,53,2,0
78,0,-2,-2,40,81,40,0
75,0,38,0,35,36,0,0
77,-3,-12,-13,40,90,50,0
77,0,42,16,36,35,0,0
77,0,52,15,26,25,0,0
96,8,54,0,40,42,2,0
103,0,24,-1,66,80,14,0
79,0,12,4,23,66,42,1
80,0,36,0,44,44,0,0
104,0,70,0,1,34,34,0
79,0,6,17,42,74,32,0
80,0,38,0,42,41,0,0
95,0,28,1,58,67,8,0
77,0,46,0,30,30,0,0
81,0,54,0,27,26,0,0
92,0,26,-15,36,66,30,1
106,0,26,-20,68,80,12,0
84,0,38,0,44,46,2,0
84,0,56,-4,25,27,2,0
79,6,52,11,27,27,0,0
76,-2,20,-5,40,55,16,0
84,-2,46,-4,36,38,2,0
80,-2,38,11,40,41,2,0
79,0,16,-5,43,64,22,0
83,0,56,3,27,26,0,0
86,0,50,-16,36,37,2,0
90,1,46,0,42,43,0,0
77,0,-22,1,40,101,60,0
80,0,-40,20,4,121,116,0
89,0,46,-3,41,42,2,0
78,0,10,6,42,68,26,0
110,0,46,-2,61,64,2,0
77,1,8,0,41,70,28,0
106,0,50,0,57,57,0,0
97,0,52,0,42,46,4,1
80,-6,56,11,24,23,0,0
81,-1,52,3,30,30,0,0
76,2,46,8,30,30,0,0
86,0,52,-13,33,35,2,0
83,0,42,0,41,41,0,0
85,-3,42,-5,42,44,2,0
83,0,54,-8,27,28,2,0
79,0,42,-20,35,37,2,0
77,6,42,-5,34,35,2,0
80,0,18,-30,43,62,18,0
87,0,46,14,42,41,0,0
93,1,54,0,38,39,0,0
77,0,44,-8,31,33,2,0
86,0,46,1,40,39,0,0
102,0,70,-3,1,33,32,0
109,2,72,5,1,36,36,0
77,0,26,-7,41,52,10,0
106,4,72,2,1,33,32,0
103,1,52,-4,51,51,0,0
83,0,42,27,42,41,0,0
81,3,56,0,24,24,0,0
77,2,50,0,28,28,0,0
93,0,6,-3,37,88,50,1
74,-1,28,-2,37,46,8,0
77,0,36,6,40,41,0,0
83,0,44,7,39,39,0,0
80,0,10,21,43,70,26,0
79,0,38,0,38,40,2,0
76,0,20,0,39,55,16,0
107,0,56,3,51,50,0,0
85,0,52,1,34,33,0,0
95,0,52,-7,40,44,4,1
86,0,54,-3,31,32,2,0
79,0,38,-12,38,40,2,0
79,0,20,31,42,58,16,0
88,-7,44,-28,43,44,2,0
107,5,70,0,1,37,36,0
106,6,26,27,68,80,12,0
79,0,42,-1,37,38,2,0
106,0,50,31,58,57,0,0
78,-3,42,0,36,37,2,0
79,3,54,0,24,24,0,0
81,-2,42,-25,37,39,2,0
106,-6,46,0,58,60,2,0
86,0,42,5,46,45,0,0
80,0,-40,0,4,121,116,0
86,-1,52,-9,33,34,0,0
77,0,38,0,37,38,0,0
79,0,42,-29,35,37,2,0
79,0,12,-16,23,66,42,1
79,1,18,31,42,61,18,0
76,7,46,0,30,29,0,0
86,3,44,10,43,42,0,0
92,-2,12,0,55,79,24,0
85,0,42,-15,42,44,2,0
77,0,42,0,36,36,0,0
95,-1,26,0,58,70,12,0
104,-5,72,12,1,31,30,0
76,7,34,0,40,43,2,0
79,2,0,0,33,79,46,0
98,0,46,1,42,51,10,1
95,0,44,-9,40,51,12,1
92,1,6,-20,54,86,32,0
79,4,38,0,40,41,0,0
84,0,-38,0,4,123,118,0
93,0,50,-8,38,44,6,1
78,0,44,0,34,34,0,0
112,0,68,0,45,45,0,0
78,0,38,-17,37,39,2,0
87,-3,0,0,3,87,84,0
84,0,52,-18,31,32,2,0
82,0,34,5,45,48,2,0
76,0,20,0,39,55,16,0
81,0,52,0,28,29,0,0
77,0,12,-6,22,65,42,1
81,-1,56,10,25,24,0,0
81,-1,30,0,45,50,6,0
79,3,8,-22,42,71,28,0
87,0,46,1,41,41,0,0
86,-1108,46,0,40,40,0,0
79,0,6,0,23,74,50,1
78,6,24,0,23,55,32,1
80,-1,42,-2,38,39,0,0
84,0,-14,4,4,100,96,0
80,8,16,-2,43,65,22,0
77,0,-22,0,24,101,76,1
81,2,38,0,41,43,2,0
86,0,52,20,35,34,0,0
80,0,46,3,35,34,0,0
99,2,46,0,42,52,10,1
84,0,54,1,31,30,0,0
78,1,50,1,29,29,0,0
108,0,56,-23,49,51,2,0
77,0,0,-10,40,77,36,0
83,0,-46,0,4,129,124,0
81,1,42,0,40,40,0,0
79,-1,38,0,41,40,0,0
97,1,42,0,55,56,0,0
89,5,46,-21,40,42,2,0
81,0,44,-19,35,37,2,0
105,0,34,9,68,71,4,0
95,0,52,0,40,44,4,1
82,1,36,0,45,46,0,0
82,3,20,1,45,61,16,0
77,0,20,0,40,57,16,0
80,0,18,-5,43,62,18,0
64,-29,42,-4,21,23,2,0
99,0,30,18,61,68,6,0
76,0,44,-4,30,32,2,0
97,0,42,5,55,55,0,0
107,-3,38,0,68,68,0,0
77,0,12,19,21,64,42,1
88,0,42,6,47,46,0,0
86,0,44,3,43,42,0,0
79,1,44,7,36,35,0,0
85,-1,50,6,36,36,0,0
86,0,38,-22,46,48,2,0
88,0,52,16,36,36,0,0
82,0,44,2,38,38,0,0
80,0,42,29,39,39,0,0
88,0,46,0,40,41,2,0
80,0,-2,5,25,83,58,1
77,0,26,-20,22,52,30,1
76,0,38,-6,35,37,2,0
86,0,46,0,38,39,0,0
